epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1441.94,0.56641,0.79907,0.37791,0.91266,0.9995,0.9863,0.99454,0.91763,0.9995,0.9863,0.99454,0.87106,0.44834,0.67885,0.287,0.84739,0.000713,0.000713,0.000713
67,1463.34,0.52794,0.76263,0.3515,0.89788,0.99279,0.99315,0.99493,0.92955,0.99279,0.99315,0.99493,0.87555,0.42179,0.63185,0.27634,0.83556,0.0006932,0.0006932,0.0006932
68,1485.68,0.52379,0.73401,0.35512,0.90262,0.99932,0.9863,0.99486,0.92473,0.99932,0.9863,0.99486,0.87681,0.44343,0.66947,0.28291,0.86063,0.0006734,0.0006734,0.0006734
69,1507.63,0.53038,0.77523,0.35995,0.90461,0.99951,0.99315,0.995,0.92465,0.99951,0.99315,0.995,0.8691,0.44012,0.68457,0.27087,0.8487,0.0006536,0.0006536,0.0006536
70,1529.09,0.52158,0.74574,0.35621,0.88984,0.99954,0.99315,0.995,0.93914,0.99954,0.99315,0.995,0.87917,0.41177,0.6403,0.25381,0.83641,0.0006338,0.0006338,0.0006338
71,1551.36,0.53017,0.75975,0.36275,0.89067,0.99986,0.99315,0.995,0.94715,0.99986,0.99315,0.995,0.88432,0.38806,0.63228,0.25652,0.82857,0.000614,0.000614,0.000614
72,1573.66,0.50965,0.7855,0.34245,0.88279,0.99925,0.99315,0.995,0.93727,0.99925,0.99315,0.995,0.88123,0.41648,0.63104,0.26327,0.83737,0.0005942,0.0005942,0.0005942
73,1595.08,0.51889,0.77523,0.34879,0.89927,1,0.99257,0.995,0.94785,1,0.99257,0.995,0.88192,0.40688,0.63744,0.25748,0.83329,0.0005744,0.0005744,0.0005744
74,1618.1,0.50279,0.72151,0.33959,0.89804,1,0.99255,0.995,0.92622,1,0.99255,0.995,0.87544,0.39564,0.61715,0.26622,0.82822,0.0005546,0.0005546,0.0005546
75,1640.56,0.50688,0.72208,0.34405,0.89305,0.99984,0.99315,0.995,0.93204,0.99984,0.99315,0.995,0.8737,0.39071,0.64332,0.25859,0.82694,0.0005348,0.0005348,0.0005348
76,1662.79,0.50325,0.72119,0.33606,0.8995,0.99931,0.9863,0.99467,0.94141,0.99931,0.9863,0.99467,0.88091,0.38945,0.62331,0.26355,0.8283,0.000515,0.000515,0.000515
77,1684.31,0.50483,0.71128,0.34389,0.89568,0.99939,0.9863,0.99493,0.93529,0.99939,0.9863,0.99493,0.88162,0.40528,0.62291,0.25813,0.83254,0.0004952,0.0004952,0.0004952
78,1706.51,0.4863,0.6978,0.32591,0.88218,1,0.99308,0.995,0.94081,1,0.99308,0.995,0.8859,0.39867,0.60715,0.25581,0.82362,0.0004754,0.0004754,0.0004754
79,1728.69,0.47261,0.70694,0.32784,0.87847,1,0.99197,0.995,0.93982,1,0.99197,0.995,0.89292,0.39027,0.59443,0.24988,0.82596,0.0004556,0.0004556,0.0004556
80,1750.36,0.46863,0.67767,0.32197,0.87627,0.99943,0.99315,0.995,0.93701,0.99943,0.99315,0.995,0.8892,0.38833,0.59847,0.24031,0.82146,0.0004358,0.0004358,0.0004358
